STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00451496,CLEARWATER WA US,19000705,217,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000706,222,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000707,211,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000708,206,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000709,250,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000710,200,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000711,194,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19000712,217,128,-9999
GHCND:USC00451496,CLEARWATER WA US,19000713,206,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000714,206,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19000715,211,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000716,217,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000717,206,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19000718,250,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19000719,272,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000720,278,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000721,222,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19000722,222,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19000723,217,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000724,239,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000725,211,133,-9999
GHCND:USC00451496,CLEARWATER WA US,19000726,233,128,-9999
GHCND:USC00451496,CLEARWATER WA US,19000727,233,133,-9999
GHCND:USC00451496,CLEARWATER WA US,19000728,222,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000729,239,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000730,250,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000731,239,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000801,211,128,-9999
GHCND:USC00451496,CLEARWATER WA US,19000802,200,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19000803,189,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19000804,211,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000805,206,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000806,206,117,-9999
GHCND:USC00451496,CLEARWATER WA US,19000807,211,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000808,211,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000809,233,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19000810,217,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000811,239,133,-9999
GHCND:USC00451496,CLEARWATER WA US,19000812,228,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000813,228,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000814,206,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19000815,189,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19000816,200,117,-9999
GHCND:USC00451496,CLEARWATER WA US,19000817,200,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000818,206,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000819,233,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000820,222,128,-9999
GHCND:USC00451496,CLEARWATER WA US,19000821,217,144,-9999
GHCND:USC00451496,CLEARWATER WA US,19000822,233,150,-9999
GHCND:USC00451496,CLEARWATER WA US,19000823,194,144,-9999
GHCND:USC00451496,CLEARWATER WA US,19000824,194,144,-9999
